運行日区分,改正日,ページ番号,列番号,列車番号,運行種別,行先,名鉄名古屋 着,名鉄名古屋 発,金山 着,金山 発,鳴海 着,鳴海 発,有松 着,備考
休日,2026/3/14,1,1,510,急行,豊橋,0,0,0,0,0,0,0,
休日,2026/3/14,1,2,580,普通,伊奈,0,0,0,0,0,0,0,
休日,2026/3/14,1,3,512,急行,豊橋,0,0,0,0,0,0,0,
休日,2026/3/14,1,4,582,普通,伊奈,0,0,0,0,0,0,0,
休日,2026/3/14,1,5,514,準急,豊橋,0,0,0,0,0,0541,0543,東岡崎から急行
休日,2026/3/14,1,6,680,普通,伊奈,0,0,0,0,0,0,0,
休日,2026/3/14,1,7,532E,急行,中部国際空港,0521,0522,0526,0527,0,0,0,
休日,2026/3/14,1,8,500E,快急,中部国際空港,0534,0535,0539,0540,0,0,0,
休日,2026/3/14,1,9,516,準急,豊橋,0544,0546,0549,0550,0601,0601,0604,東岡崎から急行
休日,2026/3/14,1,10,584,普通,伊奈,0,0,0,0,0,0549,0553,
休日,2026/3/14,1,11,560,普通,伊奈,0551,0551,0556,0557,0612,0613,0617,
休日,2026/3/14,1,12,610,準急,豊橋,0603,0604,0607,0608,0619,0622,0625,東岡崎から急行
休日,2026/3/14,1,13,260,特急,中部国際空港,0605,0606,0610,0611,0,0,0,一部特別車
休日,2026/3/14,1,14,60,特急,豊橋,0,0608,0612,0613,0,0,0,一部特別車
休日,2026/3/14,1,15,690,普通,東岡崎,0610,0610,0615,0616,0632,0635,0639,
休日,2026/3/14,1,16,612,急行,豊橋,0618,0618,0622,0623,0633,0634,0,
休日,2026/3/14,1,17,650B,普通,河和,0612,0613,0618,0623,0,0,0,
休日,2026/3/14,1,18,550,普通,須ケロ,0,0,0,0,0,0,0,
休日,2026/3/14,1,19,660,普通,東岡崎,0624,0624,0629,0630,0645,0646,0650,
休日,2026/3/14,1,20,4,μS,中部国際空港,0628,0629,0633,0634,0,0,0,全車特別車
休日,2026/3/14,2,1,614,急行,豊橋,0638,0639,0642,0643,0653,0654,0,
休日,2026/3/14,2,2,600E,快急,中部国際空港,0641,0641,0645,0648,0,0,0,
休日,2026/3/14,2,3,62,快特,豊橋,0643,0644,0647,0649,0,0,0,一部特別車
休日,2026/3/14,2,4,780,普通,伊奈,0,0,0,0,0,0,0,
休日,2026/3/14,2,5,662,普通,東岡崎,0646,0647,0652,0653,0708,0708,0712,
休日,2026/3/14,2,6,652C,普通,知多半田,0655,0656,0701,0702,0,0,0,
