運行日区分,改正日,ページ番号,列番号,列車番号,運行種別,行先,名鉄名古屋 着,名鉄名古屋 発,金山 着,金山 発,鳴海 着,鳴海 発,有松 着,備考
平日,2026/3/14,1,5,514,準急,豊橋,0,0,0,0,0,541,543,東岡崎から急行
平日,2026/3/14,1,8,550,普通,伊奈,0,0,0,537,552,555,559,
平日,2026/3/14,1,10,516,津急,豊橋,538,539,542,543,554,554,557,東岡崎から急行
平日,2026/3/14,1,12,552,普通,伊奈,548,548,553,554,609,610,613,
平日,2026/3/14,1,14,612,準急,豊橋,604,604,608,609,619,623,625,東岡崎から急行
平日,2026/3/14,1,16,690,普通,東岡崎,609,609,614,615,630,631,635,
平日,2026/3/14,1,18,614,急行,豊橋,616,618,622,623,635,636,0,一部特別車
平日,2026/3/14,1,20,660,普通,東岡崎,620,620,625,626,642,643,647,
平日,2026/3/14,2,3,674,急行,豊川稲荷,635,635,639,640,650,651,0,一部特別車
平日,2026/3/14,2,7,694,普通,東岡崎,642,643,648,649,706,709,713,
平日,2026/3/14,2,9,64,特急,豊橋,649,649,653,654,703,704,0,一部特別車
平日,2026/3/14,2,10,642,急行,伊奈,651,651,655,656,707,708,710,名古屋から準急東岡崎から急行
平日,2026/3/14,2,11,622,普通,東岡崎,655,656,701,702,723,728,732,須ケロから準急名古屋から普通
平日,2026/3/14,2,17,770,急行,伊奈,702,703,707,708,720,721,723,東岡崎から準急
平日,2026/3/14,2,19,742,準急,伊奈,709,710,714,715,726,726,729,新安城から普通
平日,2026/3/14,2,20,790,普通,東岡崎,712,713,717,718,738,747,751,
平日,2026/3/14,3,1,772,急行,吉良吉田,714,715,720,721,733,736,0,新安城から普通
平日,2026/3/14,3,4,744,準急,本宿,724,724,728,729,740,741,0,名古屋から急行新安城から準急
平日,2026/3/14,3,5,702,快急,吉良吉田,728,729,734,735,752,755,0,名古屋から普通鳴海から急行
平日,2026/3/14,3,8,792,普通,豊橋,734,734,739,740,753,754,0,名古屋から急行
平日,2026/3/14,3,9,750,普通,豊明,0,0,0,0,0,759,803,
平日,2026/3/14,3,10,760,普通,豊明,738,739,744,745,804,807,811,
平日,2026/3/14,3,15,778,急行,国府,745,746,750,751,805,806,0,新安城から準急
平日,2026/3/14,3,18,762,普通,東岡崎,753,754,759,800,822,829,834,
平日,2026/3/14,3,19,794,普通,豊明,755,756,801,802,817,817,821,名古屋から急行鳴海から普通
平日,2026/3/14,4,2,80,特急,豊橋,800,801,805,806,815,815,0,一部特別車
平日,2026/3/14,4,3,870,急行,東岡崎,802,803,807,809,819,820,823,名古屋から準急新安城から普通
平日,2026/3/14,4,5,800,快急,豊橋,807,808,812,814,828,828,0,名古屋から急行
平日,2026/3/14,4,9,890,普通,東岡崎,814,814,819,820,836,837,841,
平日,2026/3/14,4,12,844,普通,豊川稲荷,824,825,829,830,841,841,0,名古屋から急行
平日,2026/3/14,4,13,850,普通,豊明,0,0,0,0,0,847,851,
平日,2026/3/14,4,14,802,快急,東岡崎,826,827,832,833,852,859,903,名古屋から普通
平日,2026/3/14,4,17,810,急行,豊橋,837,838,842,843,857,857,0,
平日,2026/3/14,5,2,892,普通,東岡崎,841,842,847,848,906,907,911,
平日,2026/3/14,5,6,862,普通,東岡崎,853,854,858,859,920,923,928,
平日,2026/3/14,5,7,804,快急,豊川稲荷,857,858,901,902,914,914,0,名古屋から急行
平日,2026/3/14,5,9,990,普通,東岡崎,859,900,905,906,933,938,942,
平日,2026/3/14,5,12,940,準急,豊明,906,907,911,912,922,922,925,
平日,2026/3/14,5,13,910,急行,豊橋,911,912,916,917,927,931,0,
平日,2026/3/14,5,17,942,普通,吉良吉田,920,921,925,926,936,936,0,名古屋から急行
平日,2026/3/14,5,18,992,普通,東岡崎,922,923,928,929,948,948,952,
平日,2026/3/14,5,19,920,急行,豊川稲荷,927,927,931,932,943,947,0,
平日,2026/3/14,6,3,944,普通,豊明,935,936,939,940,951,951,954,名古屋から準急
平日,2026/3/14,6,4,994,普通,東岡崎,937,938,942,943,1003,1008,1012,
平日,2026/3/14,6,5,912,急行,豊橋,941,942,946,947,958,1001,0,
平日,2026/3/14,6,10,946,準急,吉良吉田,950,951,954,955,1006,1006,0,名古屋から急行
平日,2026/3/14,6,11,996,普通,東岡崎,952,953,958,959,1018,1018,1022,
平日,2026/3/14,6,12,922,急行,国府,957,957,1001,1002,1013,1017,0,
平日,2026/3/14,6,16,1040,普通,豊明,1005,1006,1009,1010,1021,1021,1024,名古屋から準急
平日,2026/3/14,6,17,1090,普通,東岡崎,1007,1008,1012,1013,1033,1038,1042,
平日,2026/3/14,6,18,1010,急行,豊橋,1011,1012,1016,1017,1028,1031,0,
平日,2026/3/14,7,3,1042,普通,吉良吉田,1020,1021,1024,1025,1036,1036,0,名古屋から急行
平日,2026/3/14,7,4,1092,普通,東岡崎,1022,1023,1027,1028,1048,1053,1057,
平日,2026/3/14,7,8,1044,準急,豊明,1034,1035,1039,1040,1050,1051,1054,
平日,2026/3/14,7,9,1094,普通,東岡崎,1036,1037,1042,1043,1103,1108,1112,
平日,2026/3/14,7,10,1012,急行,豊橋,1040,1041,1046,1047,1058,1101,0,
平日,2026/3/14,7,14,1046,普通,吉良吉田,1050,1051,1054,1055,1106,1106,0,名古屋から急行
平日,2026/3/14,7,15,1096,普通,東岡崎,1052,1053,1057,1058,1118,1123,1127,
平日,2026/3/14,7,19,1140,準急,豊明,1104,1105,1109,1110,1120,1121,1124,
平日,2026/3/14,7,20,1190,普通,東岡崎,1106,1107,1112,1113,1133,1138,1142,
平日,2026/3/14,8,1,1110,急行,豊橋,1110,1111,1116,1117,1128,1131,0,
平日,2026/3/14,8,5,1142,普通,吉良吉田,1120,1121,1124,1125,1136,1136,0,名古屋から急行
平日,2026/3/14,8,6,1192,普通,東岡崎,1122,1123,1127,1128,1148,1153,1157,
平日,2026/3/14,8,10,1144,準急,豊明,1134,1135,1139,1140,1150,1151,1154,
平日,2026/3/14,8,11,1194,普通,東岡崎,1136,1137,1142,1143,1203,1208,1212,
平日,2026/3/14,8,12,1112,急行,豊橋,1140,1141,1146,1147,1158,1201,0,
平日,2026/3/14,8,16,1146,普通,吉良吉田,1150,1151,1154,1155,1206,1206,0,名古屋から急行
平日,2026/3/14,8,17,1196,普通,東岡崎,1152,1153,1157,1158,1218,1223,1227,
平日,2026/3/14,9,1,1240,準急,豊明,1204,1205,1209,1210,1220,1221,1224,
平日,2026/3/14,9,2,1290,普通,東岡崎,1206,1207,1212,1213,1233,1238,1242,
平日,2026/3/14,9,3,1210,急行,豊橋,1210,1211,1216,1217,1228,1231,0,
平日,2026/3/14,9,7,1242,普通,吉良吉田,1220,1221,1224,1225,1236,1236,0,名古屋から急行
